LXS Strain #,Mn ST_sal,SEM ST_sal,n ST_sal,Mn ST_Et,SEM ST_Et,n ST_Et,Mn AFT_sal,SEM AFT_sal,n AFT_sal,Mn AFT_Et,SEM AFT_Et,n AFT_Et,RT (ST_Et minus ST_sal)
2,x,x,x,x,x,x,x,x,x,x,x,x,x
3,124,10,12,111,7,12,23,21,12,9,13,12,-13
5,79,5,13,71,4,14,179,19,13,183,16,14,-8
7,68,5,15,62,6,16,80,19,15,75,21,15,-6
8,52,3,13,61,4,14,55,18,13,63,20,14,9
9,89,5,12,87,8,14,43,24,12,63,28,14,-2
10,x,x,x,x,x,x,x,x,x,x,x,x,x
13,63,6,12,72,4,13,125,26,12,128,23,13,9
14,72,5,13,81,7,13,106,22,13,117,21,12,9
16,103,14,7,102,10,9,110,16,7,122,17,9,-1
19,113,6,12,96,6,13,77,24,12,95,21,13,-17
22,78,6,13,70,4,14,136,19,13,119,17,13,-8
23,67,7,12,100,5,14,79,41,12,66,27,14,33
24,179,1,12,157,7,13,54,22,12,64,9,13,-22
25,88,5,14,78,6,14,73,19,14,109,15,14,-10
26,70,3,13,69,4,13,96,21,13,128,16,13,-1
28,89,7,13,75,5,13,18,20,13,29,21,13,-14
31,x,x,x,x,x,x,x,x,x,x,x,x,x
32,88,5,13,92,4,14,75,28,13,106,20,14,4
34,83,8,3,74,9,4,55,35,3,141,27,4,-9
35,x,x,x,x,x,x,x,x,x,x,x,x,x
36,x,x,x,166,9,4,x,x,x,72,12,4,x
38,x,x,x,x,x,x,x,x,x,x,x,x,x
39,46,2,8,48,2,8,85,32,8,85,31,8,2
41,148,7,15,112,6,14,25,15,14,74,16,14,-36
42,x,x,x,x,x,x,x,x,x,x,x,x,x
43,108,6,15,127,8,17,123,10,15,83,10,17,19
46,97,12,5,88,7,6,20,37,4,34,26,6,-9
48,88,5,13,81,4,14,108,19,13,152,20,14,-7
49,51,2,10,45,3,11,108,20,10,161,14,11,-6
50,87,5,12,81,4,11,75,17,12,41,17,11,-6
51,x,x,x,x,x,x,x,x,x,x,x,x,x
52,145,7,12,141,5,12,65,10,12,81,19,12,-4
54,x,x,x,x,x,x,x,x,x,x,x,x,x
55,x,x,x,x,x,x,x,x,x,x,x,x,x
56,124,24,4,118,21,4,42,40,4,73,6,4,-6
59,x,x,x,x,x,x,x,x,x,x,x,x,x
60,121,3,11,114,4,11,12,17,11,72,13,11,-7
61,x,x,x,x,x,x,x,x,x,x,x,x,x
62,x,x, ,x,x,x,x,x,x,x,x,x,x
64,x,x,x,55,3,3,x,x,x,3,36,3,x
66,112,3,12,100,6,9,136,20,12,127,14,9,-12
68,x,x,x,x,x,x,x,x,x,x,x,x,x
70,99,5,16,80,7,14,75,21,16,151,11,14,-19
72,93,11,16,83,9,17,106,16,16,96,20,17,-10
73,128,10,13,118,10,13,73,14,13,76,16,13,-10
75,x,x,x,x,x,x,x,x,x,x,x,x,x
76,95,3,16,88,4,17,84,17,16,109,14,17,-7
78,122,8,12,92,3,12,110,22,12,143,10,12,-30
79,x,x,x,x,x,x,x,x,x,x,x,x,x
80,118,10,13,123,6,12,45,18,13,37,19,12,5
84,57,4,15,62,4,18,181,19,15,149,18,18,5
86,68,7,13,76,9,13,28,21,13,57,26,13,8
87,56,3,12,54,4,12,76,18,12,50,22,12,-2
88,x,x,x,x,x,x,x,x,x,x,x,x,x
89,73,9,13,93,7,16,90,20,13,40,13,16,20
90,127,6,12,125,6,13,54,22,12,72,21,13,-2
92,111,7,13,75,4,14,-7,14,13,72,15,14,-36
93,70,6,12,61,4,13,88,19,12,67,21,13,-9
94,151,4,18,134,5,18,33,18,17,72,12,18,-17
96,81,5,12,82,4,12,44,19,12,57,19,12,1
97,71,6,12,63,5,11,98,34,12,102,25,11,-8
98,49,3,12,50,4,12,159,30,12,111,27,12,1
99,87,6,16,86,4,17,82,18,16,143,14,17,-1
100,150,9,14,167,5,15,97,17,14,213,39,15,17
101,58,5,12,72,5,12,38,18,12,50,24,12,14
102,107,10,12,77,4,13,52,22,12,56,22,13,-30
103,132,6,13,110,5,14,-9,16,13,37,11,14,-22
107,153,4,14,140,4,14,60,12,14,70,11,14,-13
110,131,14,6,95,14,6,12,27,6,69,23,6,-36
112,129,8,12,141,9,13,32,25,12,50,30,12,12
114,50,3,12,46,2,13,46,14,12,103,14,13,-4
115,122,7,14,118,6,13,100,12,14,99,17,13,-4
117,x,x,x,x,x,x,x,x,x,x,x,x,x
122,99,9,13,117,8,13,38,21,13,65,15,13,18
123,86,5,14,70,5,15,127,10,14,139,15,15,-16
124,x,x,x,x,x,x,x,x,x,x,x,x,x
